ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,CINEMA49,VSWAMY.TXT,0.67647,0.70769,0.69173,1
ROUGE-2,CINEMA48,VSWAMY.TXT,0.48485,0.48000,0.48241,1
ROUGE-2,CINEMA47,VSWAMY.TXT,0.49495,0.65333,0.56322,1
ROUGE-2,CINEMA46,VSWAMY.TXT,0.12676,0.20000,0.15517,1
ROUGE-2,CINEMA45,VSWAMY.TXT,0.29870,0.29870,0.29870,1
ROUGE-2,CINEMA44,VSWAMY.TXT,0.54286,0.52055,0.53147,1
ROUGE-2,CINEMA43,VSWAMY.TXT,0.54545,0.67742,0.60432,1
ROUGE-2,CINEMA0,VSWAMY.TXT,0.63636,0.72414,0.67742,1
ROUGE-2,CINEMA89,VSWAMY.TXT,0.25833,0.31959,0.28571,1
ROUGE-2,CINEMA87,VSWAMY.TXT,0.39759,0.23571,0.29596,1
ROUGE-2,CINEMA88,VSWAMY.TXT,0.94215,0.91935,0.93061,1
