ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,STATE74,SYSTEMSTEMMER.TXT,0.74607,0.58387,0.65508,2
ROUGE-2,STATE7,SYSTEMSTEMMER.TXT,0.71135,0.59906,0.65039,2
ROUGE-2,STATE71,SYSTEMSTEMMER.TXT,0.71562,0.61940,0.66404,2
ROUGE-2,CINEMA69,SYSTEMSTEMMER.TXT,0.68641,0.74405,0.71407,2
ROUGE-2,STATE9,SYSTEMSTEMMER.TXT,0.74275,0.68056,0.71029,2
ROUGE-2,STATE0,SYSTEMSTEMMER.TXT,0.35601,0.38400,0.36947,2
ROUGE-2,STATE87,SYSTEMSTEMMER.TXT,0.85649,0.76754,0.80958,2
ROUGE-2,STATE88,SYSTEMSTEMMER.TXT,0.55391,0.50427,0.52793,2
ROUGE-2,CINEMA31,SYSTEMSTEMMER.TXT,0.69305,0.66372,0.67806,2
ROUGE-2,CINEMA37,SYSTEMSTEMMER.TXT,0.59239,0.61494,0.60346,2
ROUGE-2,CINEMA32,SYSTEMSTEMMER.TXT,0.89170,0.90984,0.90067,2
ROUGE-2,STATE83,SYSTEMSTEMMER.TXT,0.70147,0.57317,0.63086,2
ROUGE-2,CINEMA34,SYSTEMSTEMMER.TXT,0.67500,0.68182,0.67839,2
ROUGE-2,CINEMA41,SYSTEMSTEMMER.TXT,0.77290,0.73333,0.75260,2
ROUGE-2,STATE98,SYSTEMSTEMMER.TXT,0.45009,0.40441,0.42603,2
ROUGE-2,STATE99,SYSTEMSTEMMER.TXT,0.79296,0.44500,0.57008,2
ROUGE-2,STATE91,SYSTEMSTEMMER.TXT,0.76033,0.52143,0.61861,2
ROUGE-2,STATE90,SYSTEMSTEMMER.TXT,0.55381,0.45385,0.49887,2
ROUGE-2,CINEMA49,SYSTEMSTEMMER.TXT,0.80537,0.80827,0.80682,2
ROUGE-2,STATE93,SYSTEMSTEMMER.TXT,0.81585,0.81053,0.81318,2
ROUGE-2,STATE92,SYSTEMSTEMMER.TXT,0.69477,0.68367,0.68918,2
ROUGE-2,CINEMA47,SYSTEMSTEMMER.TXT,0.67010,0.59091,0.62802,2
ROUGE-2,STATE95,SYSTEMSTEMMER.TXT,0.28054,0.28846,0.28444,2
ROUGE-2,CINEMA44,SYSTEMSTEMMER.TXT,0.61566,0.47826,0.53833,2
ROUGE-2,STATE97,SYSTEMSTEMMER.TXT,0.66027,0.55455,0.60281,2
ROUGE-2,CINEMA43,SYSTEMSTEMMER.TXT,0.72675,0.61446,0.66590,2
ROUGE-2,STATE96,SYSTEMSTEMMER.TXT,0.61782,0.52432,0.56724,2
